month,average_price
2015-01,1.4127759234278423
2015-02,0.9533057338178015
2015-03,0.7602822930059717
2015-04,0.35756194834055716
2015-05,0.14698371253115927
2015-06,0.0646952578718988
2015-07,0.03870618340168994
2015-08,0.025909202412256443
2015-09,0.02073922925238389
2015-10,0.02038074856041378
2015-11,0.023035955556006106
2015-12,0.009571634429826323
2016-01,0.0030859731851579425
2016-02,0.0014385659569688188
2016-03,0.001069477080513713
2016-04,0.0007021519604361618
2016-05,0.0004898088427177364
2016-06,0.0002239241274575454
2016-07,0.00011275326111590774
2016-08,5.147639310799702e-05
2016-09,3.642824599661272e-05
2016-10,1.9460992987540704e-05
2016-11,9.611485934344876e-06
2016-12,7.847930086409082e-06
2017-01,5.431431922874346e-06
2017-02,6.402014700753194e-06
2017-03,3.917449232254383e-06
2017-04,2.0895630955659425e-06
2017-05,1.1304383404029121e-06
2017-06,9.450317971952787e-07
2017-07,6.378427902354155e-07
2017-08,3.280924678355515e-07
2017-09,1.6542610886623212
2017-10,1.4750694106392714
2017-11,0.8886398050662838
2017-12,0.5549335152809021
2018-01,0.3445958064046208
2018-02,0.2294576340555822
2018-03,0.20439669830584312
2018-04,0.15758675342763137
2018-05,0.08477626490865134
2018-06,0.038608859603712506
2018-07,0.020326940210194936
2018-08,0.018049599689641795
2018-09,0.01216060513470962
2018-10,0.006663890125593187
2018-11,0.0029707002984588546
2018-12,0.0010351745867971571
2019-01,0.0011670990398530263
2019-02,1.7644478155278427
2019-03,3.682714722756382
2019-04,2.9492397648547577
2019-05,2.4040292774669085
2019-06,1.7853189630285045
2019-07,0.7655395026372037
2019-08,0.31435075361405546
2019-09,0.26894701595250636
2019-10,0.22028625687598374
2019-11,0.16525183748749034
2019-12,0.11410204240483407
