month,average_price
2015-01,9.440220767385822
2015-02,9.18803543453278
2015-03,9.65847435032176
2015-04,10.284528744797798
2015-05,11.103780959793271
2015-06,11.970516409345453
2015-07,11.910877401153533
2015-08,13.098587703459552
2015-09,13.150878134413977
2015-10,12.995593067217646
2015-11,13.341927282704656
2015-12,13.5795097001314
2016-01,13.820463043886965
2016-02,14.756676888634935
2016-03,16.601808085659822
2016-04,18.304747786419554
2016-05,20.495456786146807
2016-06,21.674529672673774
2016-07,22.376277999227987
2016-08,23.72332566346468
2016-09,24.36014686721247
2016-10,25.594982673019427
2016-11,29.416582154646413
2016-12,32.384751457188855
2017-01,34.23222130604088
2017-02,37.28740775518146
2017-03,38.00284957713239
2017-04,37.92561646124268
2017-05,41.703265853040804
2017-06,42.97567830648403
2017-07,44.74347336863134
2017-08,47.952534820610275
2017-09,45.65262144408585
2017-10,43.57666055932153
2017-11,48.21999110602944
2017-12,53.72338041624879
2018-01,53.00609579992076
2018-02,56.26964175427709
2018-03,58.71869335088916
2018-04,65.24143425886777
2018-05,73.85488269371581
2018-06,83.03222593885006
2018-07,91.14313784559916
2018-08,102.77662340205687
2018-09,110.53344259227421
2018-10,107.66209704291134
2018-11,109.17507859775928
2018-12,107.98704782153895
2019-01,110.05766387040647
2019-02,127.84199856232836
2019-03,136.36793760572056
2019-04,137.43159121680668
2019-05,140.251735492452
2019-06,157.22785284091228
2019-07,170.30490462898558
2019-08,163.43290493066155
2019-09,184.09428578466782
2019-10,198.28562880445355
2019-11,210.82858209061257
2019-12,200.8318890477368
